name,lat,lng
ALANKULAM,8.9019519,77.5200829
ANNAVASAL,10.4505907,78.7241649
ARANI,12.6862295,79.2992444
ARANTHANGI,10.1686451,78.9927909
ARIMALAM,10.2549862,78.8840289
ARUPPUKOTTAI,9.8789943,78.1127692
BANGALORE,13.04874,80.1209433
BODI,13.4257306,80.0922327
CHENNAI,13.0836939,80.270186
CHENNAI (AVADI),13.0144646,80.1929615
CHIDAMBARAM,11.3920706,79.703025
COIMBATORE,11.0018115,76.9628425
CUMBAM,9.7495445,77.2357408
DEVAKOTTAI,9.8960898,78.8066602
DHARAPURAM,10.7369082,77.5260968
DHARMAPURI,12.1456131,78.1132217
DINDIGUL,10.4256897,77.815664
ERODE,11.4905282,77.3505274
ERUVADI,8.444006,77.6050293
GANDARVAKOTTAI,10.5728878,79.0148767
GOBI,11.4492046,77.4031518
GURUVAYUR,11.6003963,79.4789475
HOSUR,12.7183361,77.8229481
IDAYANKUDI,8.3128002,77.8816609
ILUPPUR,10.5136995,78.6215544
KALPAKKAM,12.5092553,80.1572349
KANYAKUMARI,8.079252,77.5499338
KARAIKUDI,10.0728444,78.7795194
KARUNGAL,8.2379238,77.2413556
KARUR,10.8217671,78.3828654
KAZHUGUMALAI,9.147675,77.701714
KEERAMANGALAM,10.2858694,79.0995884
KEEZHAKARAI,9.2315,78.7856
KODAIKANAL,10.233712,77.4919719
KOLLAM,8.7532637,77.6539129
KOLLENCODE,8.3101558,77.1239159
KOTTARAKARA,8.9985,76.7741
KOVILPATTI,9.17559,77.8687
KOZHIKODE,11.2588,75.7804
KULASEKARAM,8.3646941,77.2996678
KULASEKARAPATTINAM,8.3294,78.0084
KULATHUR,11.0488499,77.0819185
KUMBAKONAM,10.9604108,79.3820861
KUMILI,9.4709536,77.1976847
KUTTAM,8.3202688,77.9388975
MADURAI,9.9261153,78.1140983
MANALMELKUDI,9.8547,78.9718
MANNACHANALLUR,10.9076,78.6536
MANNARKUDI,11.3940747,79.6912896
MARTHANDAM,8.3065018,77.2223116
MAYILADUTHURAI,11.1018614,79.6503162
MEEMISAL,9.8434,78.881
MELUR,10.0858443,78.3560235
METTUPALAYAM,11.3059363,76.9356545
MYLADUTHURAI,11.1021,79.655
NAGAPATTINAM,10.6026203,79.7619348
NAGERCOIL,8.1839904,77.4315437
NAGUDI,9.8706,78.9171
NAMAKKAL,11.3033889,78.118604
NATHAM,10.2689998,78.2507119
OOTY,11.4126769,76.7030504
OPPILAN,9.1423825,78.5061228
PALANI,10.4511094,77.5154495
PALLAPATTI,11.6593345,78.1341692
PARAMAKUDI,9.4867151,78.6722718
PATHANAMTHITTA,9.2648,76.787
PATTUKOTTAI,12.9806514,80.2422657
PERAIYUR,9.7481573,77.738655
PERIYAKULAM,10.1198663,77.5467069
PERIYAPATTINAM,9.3003944,78.9233482
POLLACHI,10.6588234,77.00873
PONNAMARAVATHY,10.2764499,78.5388542
POOMPUHAR,11.1486,79.854
PUDUCHERRY,11.9149906,79.6891785
PUDUKKOTTAI,10.2903072,78.8173617
PUDUKOTTAI,10.3826515,78.8191259
PULLAMBADI,10.9400879,78.9078938
RAMESWARAM,9.2844657,79.3125553
RAMNAD,9.3652354,78.8343193
SALEM,11.6469616,78.2106958
SANKARANKOIL,9.1473292,77.5865568
SATTANKULAM,8.4445,77.9134
SAYALKUDI,9.169397,78.4454258
SHENCOTTAH,8.973,77.249
SIVAGANGAI,9.9650599,78.7204283
SIVAKASI,9.4627995,77.7891013
SRIRANGAM,10.8573308,78.6930848
SRIVILLIPUTHUR,9.5601364,77.6091287
TAMBARAM,12.9257923,80.1179194
THANJAVUR,10.659037,79.2014278
THENI,9.8692558,77.4222974
THISAYANVILAI,8.3376,77.8895
THRISSUR,10.5276,76.2144
TIRUCHENDUR,8.495568,78.123324
TIRUMANGALAM,9.8238241,77.9862243
TIRUMAYAM,10.2449424,78.7463884
TIRUNALLAR,10.9275,79.8384
TIRUNELVELI,8.5495014,77.5805178
TIRUPATHI,13.1907353,79.6322628
TIRUPATHUR (RMD),9.8205,78.2067
TIRUPPUR,10.7915267,77.5325466
TIRUTHANGAL,9.4846,77.8122
TIRUTHURAIPOONDI,10.5271,79.6358
TIRUVANMIYUR,12.9889822,80.2515865
TIRUVARUR,10.9380609,79.4130425
TNJ (PAPANASAM),8.5656,77.4942
TONDI,9.7406,79.0176
TRICHY,10.8071144,78.6880939
TRICHY (SRR),10.7905,78.7047
TRICHY(BHEL),10.7773809,78.7930344
TRICHY-BHEL,10.7773809,78.7930344
TRIVANDRUM,8.3420775,77.1540236
TUTICORIN,8.8052602,78.1452745
UDANKUDI,8.4319,78.0276
UDUMALPET,10.5812766,77.2437652
USILAMPATTI,9.9709119,77.7932837
VEDARANYAM,10.4279477,79.7489583
VEDASANDUR,10.5990268,78.0016771
VELANKANNI,10.6868771,79.8461807
VELLORE,12.9021849,79.061104
VILLUPURAM,11.9398285,79.4945645
VIRUDHUNAGAR,9.4926289,77.8631831
